uri,dcterms:identifier,ID,description:架番号,rdfs:label,description:表記,schema:category,description:推定した国郡名等,schema:description,schema:longitude,schema:latitude,schema:geo^^uri,xywh,schema:url,canvas,schema:relatedLink,schema:image,schema:isPartOf^^uri
http://example.org/data/ae9dfa2010ed413392f6d74add162fcc,ae9dfa2010ed413392f6d74add162fcc,,仁-124,山ニソウ　一反　モツタ　□段　ツネミツ,山ニソウ　一反　モツタ　□段　ツネミツ,,,,,,,"12563,886,1167,735",https://nakamura196.github.io/shoen/iiif/6f84e176d9b2cf40e49acab2cba0900e/manifest.json,https://nakamura196.github.io/shoen/iiif/6f84e176d9b2cf40e49acab2cba0900e/canvas/p1,"https://nakamura196.github.io/shoen/iiif/6f84e176d9b2cf40e49acab2cba0900e/canvas/p1#xywh=12563,886,1167,735","https://clioimg.hi.u-tokyo.ac.jp/viewer/api/image/idata/0M0/_104ni_/124/00000001.tif/12563,886,1167,735/200,/0/default.jpg",http://example.org/data/仁-124
http://example.org/data/6e8e686d8c549088128a4a44039af816,6e8e686d8c549088128a4a44039af816,,仁-124,一反　トモヨリ,一反　トモヨリ,,,,,,,"13698,1654,345,871",https://nakamura196.github.io/shoen/iiif/6f84e176d9b2cf40e49acab2cba0900e/manifest.json,https://nakamura196.github.io/shoen/iiif/6f84e176d9b2cf40e49acab2cba0900e/canvas/p1,"https://nakamura196.github.io/shoen/iiif/6f84e176d9b2cf40e49acab2cba0900e/canvas/p1#xywh=13698,1654,345,871","https://clioimg.hi.u-tokyo.ac.jp/viewer/api/image/idata/0M0/_104ni_/124/00000001.tif/13698,1654,345,871/200,/0/default.jpg",http://example.org/data/仁-124
http://example.org/data/bd6bf4d9c2c84862a9ee8e07ef388519,bd6bf4d9c2c84862a9ee8e07ef388519,,仁-124,［　　］□トコノ前,［　　］□トコノ前,,,,,,,"11248,777,1173,915",https://nakamura196.github.io/shoen/iiif/6f84e176d9b2cf40e49acab2cba0900e/manifest.json,https://nakamura196.github.io/shoen/iiif/6f84e176d9b2cf40e49acab2cba0900e/canvas/p1,"https://nakamura196.github.io/shoen/iiif/6f84e176d9b2cf40e49acab2cba0900e/canvas/p1#xywh=11248,777,1173,915","https://clioimg.hi.u-tokyo.ac.jp/viewer/api/image/idata/0M0/_104ni_/124/00000001.tif/11248,777,1173,915/200,/0/default.jpg",http://example.org/data/仁-124
http://example.org/data/0963b3bc72878913dd0eaeef884eadda,0963b3bc72878913dd0eaeef884eadda,,仁-124,　］三方寺之知行,　］三方寺之知行,,,,,,,"10237,807,842,756",https://nakamura196.github.io/shoen/iiif/6f84e176d9b2cf40e49acab2cba0900e/manifest.json,https://nakamura196.github.io/shoen/iiif/6f84e176d9b2cf40e49acab2cba0900e/canvas/p1,"https://nakamura196.github.io/shoen/iiif/6f84e176d9b2cf40e49acab2cba0900e/canvas/p1#xywh=10237,807,842,756","https://clioimg.hi.u-tokyo.ac.jp/viewer/api/image/idata/0M0/_104ni_/124/00000001.tif/10237,807,842,756/200,/0/default.jpg",http://example.org/data/仁-124
http://example.org/data/ef910213adc31305f0864ae5d42ee04d,ef910213adc31305f0864ae5d42ee04d,,仁-124,黒田　一□□〔町内カ〕　神[　　　],黒田　一□□〔町内カ〕　神[　　　],,,,,,,"11291,1739,1161,793",https://nakamura196.github.io/shoen/iiif/6f84e176d9b2cf40e49acab2cba0900e/manifest.json,https://nakamura196.github.io/shoen/iiif/6f84e176d9b2cf40e49acab2cba0900e/canvas/p1,"https://nakamura196.github.io/shoen/iiif/6f84e176d9b2cf40e49acab2cba0900e/canvas/p1#xywh=11291,1739,1161,793","https://clioimg.hi.u-tokyo.ac.jp/viewer/api/image/idata/0M0/_104ni_/124/00000001.tif/11291,1739,1161,793/200,/0/default.jpg",http://example.org/data/仁-124
http://example.org/data/c0a46f3fa69bc2fb5335201eaf7af492,c0a46f3fa69bc2fb5335201eaf7af492,,仁-124,一町内　五段　モツタ　五段　ツネミツ,一町内　五段　モツタ　五段　ツネミツ,,,,,,,"12565,1656,1045,864",https://nakamura196.github.io/shoen/iiif/6f84e176d9b2cf40e49acab2cba0900e/manifest.json,https://nakamura196.github.io/shoen/iiif/6f84e176d9b2cf40e49acab2cba0900e/canvas/p1,"https://nakamura196.github.io/shoen/iiif/6f84e176d9b2cf40e49acab2cba0900e/canvas/p1#xywh=12565,1656,1045,864","https://clioimg.hi.u-tokyo.ac.jp/viewer/api/image/idata/0M0/_104ni_/124/00000001.tif/12565,1656,1045,864/200,/0/default.jpg",http://example.org/data/仁-124
http://example.org/data/19368009dee3c066eedce5ccfb028707,19368009dee3c066eedce5ccfb028707,,仁-124,ミマヤノ尻　一町　神田,ミマヤノ尻　一町　神田,,,,,,,"10270,1659,1008,875",https://nakamura196.github.io/shoen/iiif/6f84e176d9b2cf40e49acab2cba0900e/manifest.json,https://nakamura196.github.io/shoen/iiif/6f84e176d9b2cf40e49acab2cba0900e/canvas/p1,"https://nakamura196.github.io/shoen/iiif/6f84e176d9b2cf40e49acab2cba0900e/canvas/p1#xywh=10270,1659,1008,875","https://clioimg.hi.u-tokyo.ac.jp/viewer/api/image/idata/0M0/_104ni_/124/00000001.tif/10270,1659,1008,875/200,/0/default.jpg",http://example.org/data/仁-124
http://example.org/data/42db72f7800cc55c3c83f0e0dc7c6553,42db72f7800cc55c3c83f0e0dc7c6553,,仁-124,コマチ　一町内　五段　ヨナマス　［　　　］武則□〔内〕也,コマチ　一町内　五段　ヨナマス　［　　　］武則□〔内〕也,,,,,,,"8790,1592,1406,979",https://nakamura196.github.io/shoen/iiif/6f84e176d9b2cf40e49acab2cba0900e/manifest.json,https://nakamura196.github.io/shoen/iiif/6f84e176d9b2cf40e49acab2cba0900e/canvas/p1,"https://nakamura196.github.io/shoen/iiif/6f84e176d9b2cf40e49acab2cba0900e/canvas/p1#xywh=8790,1592,1406,979","https://clioimg.hi.u-tokyo.ac.jp/viewer/api/image/idata/0M0/_104ni_/124/00000001.tif/8790,1592,1406,979/200,/0/default.jpg",http://example.org/data/仁-124
http://example.org/data/8722c55201abb16d81102218c9be3cc2,8722c55201abb16d81102218c9be3cc2,,仁-124,コハシリ,コハシリ,,,,,,,"8177,1566,312,1037",https://nakamura196.github.io/shoen/iiif/6f84e176d9b2cf40e49acab2cba0900e/manifest.json,https://nakamura196.github.io/shoen/iiif/6f84e176d9b2cf40e49acab2cba0900e/canvas/p1,"https://nakamura196.github.io/shoen/iiif/6f84e176d9b2cf40e49acab2cba0900e/canvas/p1#xywh=8177,1566,312,1037","https://clioimg.hi.u-tokyo.ac.jp/viewer/api/image/idata/0M0/_104ni_/124/00000001.tif/8177,1566,312,1037/200,/0/default.jpg",http://example.org/data/仁-124
http://example.org/data/8c9a98e1b40650d1ef95bccc04913471,8c9a98e1b40650d1ef95bccc04913471,,仁-124,庭田　一町内　三反　郷分　六段　神田,庭田　一町内　三反　郷分　六段　神田,,,,,,,"12512,2640,1128,803",https://nakamura196.github.io/shoen/iiif/6f84e176d9b2cf40e49acab2cba0900e/manifest.json,https://nakamura196.github.io/shoen/iiif/6f84e176d9b2cf40e49acab2cba0900e/canvas/p1,"https://nakamura196.github.io/shoen/iiif/6f84e176d9b2cf40e49acab2cba0900e/canvas/p1#xywh=12512,2640,1128,803","https://clioimg.hi.u-tokyo.ac.jp/viewer/api/image/idata/0M0/_104ni_/124/00000001.tif/12512,2640,1128,803/200,/0/default.jpg",http://example.org/data/仁-124
http://example.org/data/077df3a4342f66a5f7e6fd73f5402150,077df3a4342f66a5f7e6fd73f5402150,,仁-124,柳田　一町　神□〔田カ〕,柳田　一町　神□〔田カ〕,,,,,,,"11299,2645,1146,794",https://nakamura196.github.io/shoen/iiif/6f84e176d9b2cf40e49acab2cba0900e/manifest.json,https://nakamura196.github.io/shoen/iiif/6f84e176d9b2cf40e49acab2cba0900e/canvas/p1,"https://nakamura196.github.io/shoen/iiif/6f84e176d9b2cf40e49acab2cba0900e/canvas/p1#xywh=11299,2645,1146,794","https://clioimg.hi.u-tokyo.ac.jp/viewer/api/image/idata/0M0/_104ni_/124/00000001.tif/11299,2645,1146,794/200,/0/default.jpg",http://example.org/data/仁-124
