uri,dcterms:identifier,ID,description:架番号,rdfs:label,description:表記,schema:category,description:推定した国郡名等,schema:description,schema:longitude,schema:latitude,schema:geo^^uri,xywh,schema:url,canvas,schema:relatedLink,schema:image,schema:isPartOf^^uri
http://example.org/data/9eacae93527c6f367fadebecbe3ed254,9eacae93527c6f367fadebecbe3ed254,,保-167-2,長門二宮,長門二宮,,長門国,忌宮神社。現山口県下関市長府宮の内町。長府地域のほぼ中央に位置し、東方に周防灘を望む小高い丘に鎮座する。本殿を挟んで左に若宮神社、右に高良社がある。社殿の後方は楠などの社叢となっている。旧国幣小社。,130.987609,33.999034,http://geohash.org/wyj1ktq68x23,"17175,18902,1041,2875",https://nakamura196.github.io/shoen/iiif/e857ce9f0868e4a58c6775eaf1b2f23b/manifest.json,https://nakamura196.github.io/shoen/iiif/e857ce9f0868e4a58c6775eaf1b2f23b/canvas/p1,"https://nakamura196.github.io/shoen/iiif/e857ce9f0868e4a58c6775eaf1b2f23b/canvas/p1#xywh=17175,18902,1041,2875","https://clioimg.hi.u-tokyo.ac.jp/viewer/api/image/idata/0M0/_105ho_/167-2/00000001.tif/17175,18902,1041,2875/200,/0/default.jpg",http://example.org/data/保-167-2
http://example.org/data/d3cb011ec0a6c7bcabb0a8df06ab7043,d3cb011ec0a6c7bcabb0a8df06ab7043,,保-167-2,四天王寺山,四王寺山,山,,,,,,"2153,1514,2445,1621",https://nakamura196.github.io/shoen/iiif/e857ce9f0868e4a58c6775eaf1b2f23b/manifest.json,https://nakamura196.github.io/shoen/iiif/e857ce9f0868e4a58c6775eaf1b2f23b/canvas/p1,"https://nakamura196.github.io/shoen/iiif/e857ce9f0868e4a58c6775eaf1b2f23b/canvas/p1#xywh=2153,1514,2445,1621","https://clioimg.hi.u-tokyo.ac.jp/viewer/api/image/idata/0M0/_105ho_/167-2/00000001.tif/2153,1514,2445,1621/200,/0/default.jpg",http://example.org/data/保-167-2
http://example.org/data/a01bca304f0162cda2720ceef16a48d8,a01bca304f0162cda2720ceef16a48d8,,保-167-2,諏訪社,諏訪社,社,,,,,,"7420,1392,2840,1643",https://nakamura196.github.io/shoen/iiif/e857ce9f0868e4a58c6775eaf1b2f23b/manifest.json,https://nakamura196.github.io/shoen/iiif/e857ce9f0868e4a58c6775eaf1b2f23b/canvas/p1,"https://nakamura196.github.io/shoen/iiif/e857ce9f0868e4a58c6775eaf1b2f23b/canvas/p1#xywh=7420,1392,2840,1643","https://clioimg.hi.u-tokyo.ac.jp/viewer/api/image/idata/0M0/_105ho_/167-2/00000001.tif/7420,1392,2840,1643/200,/0/default.jpg",http://example.org/data/保-167-2
http://example.org/data/1504225849c37cec92929efa02d93600,1504225849c37cec92929efa02d93600,,保-167-2,万年橋,万年橋,橋,,,,,,"8376,3741,609,609",https://nakamura196.github.io/shoen/iiif/e857ce9f0868e4a58c6775eaf1b2f23b/manifest.json,https://nakamura196.github.io/shoen/iiif/e857ce9f0868e4a58c6775eaf1b2f23b/canvas/p1,"https://nakamura196.github.io/shoen/iiif/e857ce9f0868e4a58c6775eaf1b2f23b/canvas/p1#xywh=8376,3741,609,609","https://clioimg.hi.u-tokyo.ac.jp/viewer/api/image/idata/0M0/_105ho_/167-2/00000001.tif/8376,3741,609,609/200,/0/default.jpg",http://example.org/data/保-167-2
http://example.org/data/e9e4ad69ec119b0c46eea45af0ef50be,e9e4ad69ec119b0c46eea45af0ef50be,,保-167-2,貴船社,貴船社,社,,,,,,"7960,4512,765,688",https://nakamura196.github.io/shoen/iiif/e857ce9f0868e4a58c6775eaf1b2f23b/manifest.json,https://nakamura196.github.io/shoen/iiif/e857ce9f0868e4a58c6775eaf1b2f23b/canvas/p1,"https://nakamura196.github.io/shoen/iiif/e857ce9f0868e4a58c6775eaf1b2f23b/canvas/p1#xywh=7960,4512,765,688","https://clioimg.hi.u-tokyo.ac.jp/viewer/api/image/idata/0M0/_105ho_/167-2/00000001.tif/7960,4512,765,688/200,/0/default.jpg",http://example.org/data/保-167-2
http://example.org/data/0fc64b8c13a3f757e4f37487b64ff9f4,0fc64b8c13a3f757e4f37487b64ff9f4,,保-167-2,大将軍,大将軍,,,,,,,"8218,5520,733,715",https://nakamura196.github.io/shoen/iiif/e857ce9f0868e4a58c6775eaf1b2f23b/manifest.json,https://nakamura196.github.io/shoen/iiif/e857ce9f0868e4a58c6775eaf1b2f23b/canvas/p1,"https://nakamura196.github.io/shoen/iiif/e857ce9f0868e4a58c6775eaf1b2f23b/canvas/p1#xywh=8218,5520,733,715","https://clioimg.hi.u-tokyo.ac.jp/viewer/api/image/idata/0M0/_105ho_/167-2/00000001.tif/8218,5520,733,715/200,/0/default.jpg",http://example.org/data/保-167-2
http://example.org/data/ed4548e1a8d7a35ce01cccbf87345313,ed4548e1a8d7a35ce01cccbf87345313,,保-167-2,霊社,霊社,社,,,,,,"10134,5908,490,394",https://nakamura196.github.io/shoen/iiif/e857ce9f0868e4a58c6775eaf1b2f23b/manifest.json,https://nakamura196.github.io/shoen/iiif/e857ce9f0868e4a58c6775eaf1b2f23b/canvas/p1,"https://nakamura196.github.io/shoen/iiif/e857ce9f0868e4a58c6775eaf1b2f23b/canvas/p1#xywh=10134,5908,490,394","https://clioimg.hi.u-tokyo.ac.jp/viewer/api/image/idata/0M0/_105ho_/167-2/00000001.tif/10134,5908,490,394/200,/0/default.jpg",http://example.org/data/保-167-2
http://example.org/data/332c12f989a74d1ae058fcab7d3888e3,332c12f989a74d1ae058fcab7d3888e3,,保-167-2,北門,北門,門,,,,,,"9645,6229,428,477",https://nakamura196.github.io/shoen/iiif/e857ce9f0868e4a58c6775eaf1b2f23b/manifest.json,https://nakamura196.github.io/shoen/iiif/e857ce9f0868e4a58c6775eaf1b2f23b/canvas/p1,"https://nakamura196.github.io/shoen/iiif/e857ce9f0868e4a58c6775eaf1b2f23b/canvas/p1#xywh=9645,6229,428,477","https://clioimg.hi.u-tokyo.ac.jp/viewer/api/image/idata/0M0/_105ho_/167-2/00000001.tif/9645,6229,428,477/200,/0/default.jpg",http://example.org/data/保-167-2
http://example.org/data/c909ab9baeed01f423a184e5ee1733e2,c909ab9baeed01f423a184e5ee1733e2,,保-167-2,本社,本社,社,,,,,,"8882,6339,1338,1361",https://nakamura196.github.io/shoen/iiif/e857ce9f0868e4a58c6775eaf1b2f23b/manifest.json,https://nakamura196.github.io/shoen/iiif/e857ce9f0868e4a58c6775eaf1b2f23b/canvas/p1,"https://nakamura196.github.io/shoen/iiif/e857ce9f0868e4a58c6775eaf1b2f23b/canvas/p1#xywh=8882,6339,1338,1361","https://clioimg.hi.u-tokyo.ac.jp/viewer/api/image/idata/0M0/_105ho_/167-2/00000001.tif/8882,6339,1338,1361/200,/0/default.jpg",http://example.org/data/保-167-2
http://example.org/data/b6b907c8834569f213d56a7fc3954155,b6b907c8834569f213d56a7fc3954155,,保-167-2,若宮,若宮,宮,,,,,,"8141,6750,645,630",https://nakamura196.github.io/shoen/iiif/e857ce9f0868e4a58c6775eaf1b2f23b/manifest.json,https://nakamura196.github.io/shoen/iiif/e857ce9f0868e4a58c6775eaf1b2f23b/canvas/p1,"https://nakamura196.github.io/shoen/iiif/e857ce9f0868e4a58c6775eaf1b2f23b/canvas/p1#xywh=8141,6750,645,630","https://clioimg.hi.u-tokyo.ac.jp/viewer/api/image/idata/0M0/_105ho_/167-2/00000001.tif/8141,6750,645,630/200,/0/default.jpg",http://example.org/data/保-167-2
