uri,dcterms:identifier,ID,description:架番号,rdfs:label,description:表記,schema:category,description:推定した国郡名等,schema:description,schema:longitude,schema:latitude,schema:geo^^uri,xywh,schema:url,canvas,schema:relatedLink,schema:image,schema:isPartOf^^uri
http://example.org/data/dee399ccbad1076baf86ddd6cdc00295,dee399ccbad1076baf86ddd6cdc00295,,保-55,一ツホ　一町アリ,一ツホ　一町アリ,,,,,,,"5045,2273,805,907",https://nakamura196.github.io/shoen/iiif/921324076bdc341df8e29d752c55af47/manifest.json,https://nakamura196.github.io/shoen/iiif/921324076bdc341df8e29d752c55af47/canvas/p1,"https://nakamura196.github.io/shoen/iiif/921324076bdc341df8e29d752c55af47/canvas/p1#xywh=5045,2273,805,907","https://clioimg.hi.u-tokyo.ac.jp/viewer/api/image/idata/0M0/_105ho_/55/00000001.tif/5045,2273,805,907/200,/0/default.jpg",http://example.org/data/保-55
http://example.org/data/d0866c9cc3553fa5de15cd65dd407bdf,d0866c9cc3553fa5de15cd65dd407bdf,,保-55,六ノツホ　一町アリ,六ノツホ　一町アリ,,,,,,,"5038,3204,805,843",https://nakamura196.github.io/shoen/iiif/921324076bdc341df8e29d752c55af47/manifest.json,https://nakamura196.github.io/shoen/iiif/921324076bdc341df8e29d752c55af47/canvas/p1,"https://nakamura196.github.io/shoen/iiif/921324076bdc341df8e29d752c55af47/canvas/p1#xywh=5038,3204,805,843","https://clioimg.hi.u-tokyo.ac.jp/viewer/api/image/idata/0M0/_105ho_/55/00000001.tif/5038,3204,805,843/200,/0/default.jpg",http://example.org/data/保-55
http://example.org/data/207b46fb2e4b0bbc8f13322cfb74db35,207b46fb2e4b0bbc8f13322cfb74db35,,保-55,大道,大道,,,,,,,"5198,4070,327,123",https://nakamura196.github.io/shoen/iiif/921324076bdc341df8e29d752c55af47/manifest.json,https://nakamura196.github.io/shoen/iiif/921324076bdc341df8e29d752c55af47/canvas/p1,"https://nakamura196.github.io/shoen/iiif/921324076bdc341df8e29d752c55af47/canvas/p1#xywh=5198,4070,327,123","https://clioimg.hi.u-tokyo.ac.jp/viewer/api/image/idata/0M0/_105ho_/55/00000001.tif/5198,4070,327,123/200,/0/default.jpg",http://example.org/data/保-55
http://example.org/data/6477758ef819ac68389f35bc77818844,6477758ef819ac68389f35bc77818844,,保-55,コシハ　一町アリ,コシハ　一町アリ,,,,,,,"5038,4211,799,863",https://nakamura196.github.io/shoen/iiif/921324076bdc341df8e29d752c55af47/manifest.json,https://nakamura196.github.io/shoen/iiif/921324076bdc341df8e29d752c55af47/canvas/p1,"https://nakamura196.github.io/shoen/iiif/921324076bdc341df8e29d752c55af47/canvas/p1#xywh=5038,4211,799,863","https://clioimg.hi.u-tokyo.ac.jp/viewer/api/image/idata/0M0/_105ho_/55/00000001.tif/5038,4211,799,863/200,/0/default.jpg",http://example.org/data/保-55
http://example.org/data/d1032cb18663e45f216d0a0ead15ccc3,d1032cb18663e45f216d0a0ead15ccc3,,保-55,シヤウキウ,シヤウキウ,,,,,,,"4178,2267,824,894",https://nakamura196.github.io/shoen/iiif/921324076bdc341df8e29d752c55af47/manifest.json,https://nakamura196.github.io/shoen/iiif/921324076bdc341df8e29d752c55af47/canvas/p1,"https://nakamura196.github.io/shoen/iiif/921324076bdc341df8e29d752c55af47/canvas/p1#xywh=4178,2267,824,894","https://clioimg.hi.u-tokyo.ac.jp/viewer/api/image/idata/0M0/_105ho_/55/00000001.tif/4178,2267,824,894/200,/0/default.jpg",http://example.org/data/保-55
http://example.org/data/e80383902a00fe6d28212ac95631bda3,e80383902a00fe6d28212ac95631bda3,,保-55,タヰノカ井ト　一町アリ,タヰノカ井ト　一町アリ,,,,,,,"4165,3197,805,875",https://nakamura196.github.io/shoen/iiif/921324076bdc341df8e29d752c55af47/manifest.json,https://nakamura196.github.io/shoen/iiif/921324076bdc341df8e29d752c55af47/canvas/p1,"https://nakamura196.github.io/shoen/iiif/921324076bdc341df8e29d752c55af47/canvas/p1#xywh=4165,3197,805,875","https://clioimg.hi.u-tokyo.ac.jp/viewer/api/image/idata/0M0/_105ho_/55/00000001.tif/4165,3197,805,875/200,/0/default.jpg",http://example.org/data/保-55
http://example.org/data/199d0b36abf969b6029f5b7c97efec75,199d0b36abf969b6029f5b7c97efec75,,保-55,ミチサ井メ,ミチサ井メ,,,,,,,"3030,2088,1041,219",https://nakamura196.github.io/shoen/iiif/921324076bdc341df8e29d752c55af47/manifest.json,https://nakamura196.github.io/shoen/iiif/921324076bdc341df8e29d752c55af47/canvas/p1,"https://nakamura196.github.io/shoen/iiif/921324076bdc341df8e29d752c55af47/canvas/p1#xywh=3030,2088,1041,219","https://clioimg.hi.u-tokyo.ac.jp/viewer/api/image/idata/0M0/_105ho_/55/00000001.tif/3030,2088,1041,219/200,/0/default.jpg",http://example.org/data/保-55
http://example.org/data/e10247ede5be152059c94e7cb5bee73f,e10247ede5be152059c94e7cb5bee73f,,保-55,アレ,アレ,,,,,,,"3572,2553,289,486",https://nakamura196.github.io/shoen/iiif/921324076bdc341df8e29d752c55af47/manifest.json,https://nakamura196.github.io/shoen/iiif/921324076bdc341df8e29d752c55af47/canvas/p1,"https://nakamura196.github.io/shoen/iiif/921324076bdc341df8e29d752c55af47/canvas/p1#xywh=3572,2553,289,486","https://clioimg.hi.u-tokyo.ac.jp/viewer/api/image/idata/0M0/_105ho_/55/00000001.tif/3572,2553,289,486/200,/0/default.jpg",http://example.org/data/保-55
http://example.org/data/cd26b0e7430738d0157cfd9df2955989,cd26b0e7430738d0157cfd9df2955989,,保-55,アレ,アレ,,,,,,,"4528,4459,225,429",https://nakamura196.github.io/shoen/iiif/921324076bdc341df8e29d752c55af47/manifest.json,https://nakamura196.github.io/shoen/iiif/921324076bdc341df8e29d752c55af47/canvas/p1,"https://nakamura196.github.io/shoen/iiif/921324076bdc341df8e29d752c55af47/canvas/p1#xywh=4528,4459,225,429","https://clioimg.hi.u-tokyo.ac.jp/viewer/api/image/idata/0M0/_105ho_/55/00000001.tif/4528,4459,225,429/200,/0/default.jpg",http://example.org/data/保-55
http://example.org/data/e55335496f626688f0ff50e753c0f76a,e55335496f626688f0ff50e753c0f76a,,保-55,アレ,アレ,,,,,,,"5127,5301,321,448",https://nakamura196.github.io/shoen/iiif/921324076bdc341df8e29d752c55af47/manifest.json,https://nakamura196.github.io/shoen/iiif/921324076bdc341df8e29d752c55af47/canvas/p1,"https://nakamura196.github.io/shoen/iiif/921324076bdc341df8e29d752c55af47/canvas/p1#xywh=5127,5301,321,448","https://clioimg.hi.u-tokyo.ac.jp/viewer/api/image/idata/0M0/_105ho_/55/00000001.tif/5127,5301,321,448/200,/0/default.jpg",http://example.org/data/保-55
http://example.org/data/d2715403fa4cfc054b8dfbaf213da1d9,d2715403fa4cfc054b8dfbaf213da1d9,,保-55,アレ,アレ,,,,,,,"5130,6185,296,406",https://nakamura196.github.io/shoen/iiif/921324076bdc341df8e29d752c55af47/manifest.json,https://nakamura196.github.io/shoen/iiif/921324076bdc341df8e29d752c55af47/canvas/p1,"https://nakamura196.github.io/shoen/iiif/921324076bdc341df8e29d752c55af47/canvas/p1#xywh=5130,6185,296,406","https://clioimg.hi.u-tokyo.ac.jp/viewer/api/image/idata/0M0/_105ho_/55/00000001.tif/5130,6185,296,406/200,/0/default.jpg",http://example.org/data/保-55
http://example.org/data/648dbc07a72c6bab0935c05c7b7ecb22,648dbc07a72c6bab0935c05c7b7ecb22,,保-55,アレ,アレ,,,,,,,"5127,7292,219,359",https://nakamura196.github.io/shoen/iiif/921324076bdc341df8e29d752c55af47/manifest.json,https://nakamura196.github.io/shoen/iiif/921324076bdc341df8e29d752c55af47/canvas/p1,"https://nakamura196.github.io/shoen/iiif/921324076bdc341df8e29d752c55af47/canvas/p1#xywh=5127,7292,219,359","https://clioimg.hi.u-tokyo.ac.jp/viewer/api/image/idata/0M0/_105ho_/55/00000001.tif/5127,7292,219,359/200,/0/default.jpg",http://example.org/data/保-55
http://example.org/data/325f04d86bac6df21d2be4797bb32df0,325f04d86bac6df21d2be4797bb32df0,,保-55,アレ,アレ,,,,,,,"5229,8018,231,448",https://nakamura196.github.io/shoen/iiif/921324076bdc341df8e29d752c55af47/manifest.json,https://nakamura196.github.io/shoen/iiif/921324076bdc341df8e29d752c55af47/canvas/p1,"https://nakamura196.github.io/shoen/iiif/921324076bdc341df8e29d752c55af47/canvas/p1#xywh=5229,8018,231,448","https://clioimg.hi.u-tokyo.ac.jp/viewer/api/image/idata/0M0/_105ho_/55/00000001.tif/5229,8018,231,448/200,/0/default.jpg",http://example.org/data/保-55
